Unnamed: 0,department,search_term,sfr,asin,clicked_item,click_share_rank,click_share,conversion_share
35,RPS,powerstroke pressure washer parts,1,B07CB7XJKB,"PEGGAS 7/8 Shaft Vertical Pressure Washer Pump - 3000 PSI @ 2.5 GPM OEM & Replacement Pump for Power Washer Compatible with 308653045, 308653093, 308653052, 308653078, GCV190, and more",3,0.0571,0
36,Handmade,handmade necklaces,1,B07C5CV85P,Personalized Gift Delicate Initial Necklace for Women Graduation Gift for Best Friend Family Name for Her Handmade Gift Personalized Jewelry for Mom Mother Daughter Necklace - LCN-ID-L,1,0.2558,0.2222
37,Handmade,handmade necklaces,1,B08GFQS48R,"Custom Name Necklace Personalized, 18K Gold Plated Initial Choker Name Necklace Dainty Customize Letter Necklace for Women Girl",2,0.0867,0.0617
38,Handmade,handmade necklaces,1,B08HX156QP,"Handmade Sterling Silver Lariat Necklace, Simulated Diamond 18K Gold Plated Dainty Drop Y Chain Necklace for Women (Gold)",3,0.0602,0.1111
39,MP3 Downloads,taylor swift,1,B00157GJ20,Taylor Swift,1,0.6258,0
40,MP3 Downloads,taylor swift,1,B08Q8KSKFP,evermore [Explicit],2,0.0607,0
41,MP3 Downloads,taylor swift,1,B0B4Z8S18D,REDISCOVER Taylor Swift,3,0.0571,0
42,Credit Cards,credit cards,1,B07HJD9FVV,$200 Visa Gift Card (plus $6.95 Purchase Fee),1,0.3333,0
43,Credit Cards,credit cards,1,B004LLIKVU,Amazon eGift Card - Amazon For All Occasions,2,0.2424,1
44,Credit Cards,credit cards,1,B01MSBQB1P,$100 Visa Gift Card (plus $5.95 Purchase Fee),3,0.0606,0
45,Collectibles,sports cards,1,B00CFXUAIW,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,1,0.1853,0.4
46,Collectibles,sports cards,1,B000SJONZQ,"600 Baseball Cards Including Babe Ruth, Unopened Packs, Many Stars, and Hall-of-famers. Ships in Brand New White Box Perfect for Gift Giving. Includes At Least One Original Unopened Pack of Topps Vintage Baseball Cards That Is At Least 25 Years Old!",2,0.1042,0.1
47,Collectibles,sports cards,1,B093MVD4Y9,"NFL Football Trading Cards Mega Pack | 100 NFL Sports Cards | 2 Official NFL Autographed, Jersey or Relic Cards in Every Pack | Perfect Starter Set | Sports Collectible Trading Card Packs & Boxes",3,0.0927,0.05
48,Industrial and Scientific,screws,1,B08Z3341TL,"M3 Flat Head Wood Screws Assortment Fasteners Kit 420pcs,Phillips Drive Countersunk Head Self-Tapping Screws,Carbon Steel,Contains 20pcs M6 Screw Anchors",1,0.0345,0.0436
49,Industrial and Scientific,screws,1,B092LP684Q,"Mr. Pen- Wood Screws Assortment Kit, 152 pcs, Phillips Tips, Wood Screws, Screws, Assorted Screws, Screws Set, Flat Head Screws, Assorted Wood Screws, Screws Assortment, Screw Set Assortment",2,0.0264,0.0295
50,Industrial and Scientific,screws,1,B00P8E1KCK,ARROW 160453 Pan Head Wood Screw Assortment,3,0.0179,0.0158
51,Video On Demand,the boys,1,B09WVCGMT3,The Boys - Season 3,1,0.1414,0.012
52,Video On Demand,the boys,1,B09WV8HF7Q,The Boys - Season 3,2,0.1201,0.0017
53,Video On Demand,the boys,1,B0875THX53,The Boys - Season 1,3,0.0946,0.0034
54,Home Improvement,shower head,1,B09LXN9TMM,"FASTRAS LED Shower Head with Handheld, Shower Head High Pressure Shower Head with Hose, Holder & PTFE Tape etc, 3 Water Temperature-Controlled Water Saving Filtered Shower Head for Dry Hair& Skin",1,0.0576,0.053
55,Home Improvement,shower head,1,B074PR4FRT,SparkPod Shower Head - High Pressure Rain - Luxury Modern Look - No Hassle Tool-less 1-Min Installation - The Perfect Adjustable Replacement For Your Bathroom Shower Heads (Luxury Polished Chrome),2,0.0473,0.0457
